YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2007,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"406,930"
2007,1,AL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),242
2007,1,AR,Total Electric Power Industry,Coal (Short Tons),"1,570,435"
2007,1,AR,Total Electric Power Industry,Petroleum (Barrels),"26,165"
2007,1,AR,Total Electric Power Industry,Natural Gas (Mcf),"994,902"
2007,1,AR,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,567,890"
2007,1,AR,"Electric Generators, Electric Utilities",Petroleum (Barrels),"24,434"
2007,1,AR,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"59,392"
2007,1,AR,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"317,595"
2007,1,AR,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2007,1,AR,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"497,793"
2007,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),107
2007,1,AR,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,545"
2007,1,AR,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,731"
2007,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"120,015"
2007,1,AZ,Total Electric Power Industry,Coal (Short Tons),"1,754,684"
2007,1,AZ,Total Electric Power Industry,Petroleum (Barrels),"11,650"
2007,1,AZ,Total Electric Power Industry,Natural Gas (Mcf),"18,557,412"
2007,1,AZ,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,744,929"
2007,1,AZ,"Electric Generators, Electric Utilities",Petroleum (Barrels),"11,147"
2007,1,AZ,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,536,453"
2007,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"9,820,752"
2007,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"162,993"
2007,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),74
2007,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"37,214"
2007,1,AZ,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"9,755"
2007,1,AZ,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),429
2007,1,AZ,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2007,1,CA,Total Electric Power Industry,Coal (Short Tons),"78,038"
2007,1,CA,Total Electric Power Industry,Petroleum (Barrels),"378,406"
2007,1,CA,Total Electric Power Industry,Natural Gas (Mcf),"60,251,455"
2007,1,CA,Total Electric Power Industry,Other Gases (Billion BTU),"1,369"
2007,1,CA,Total Electric Power Industry,Geothermal (Billion BTU),"11,263"
2007,1,CA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"15,425"
2007,1,CA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"12,408,173"
2007,1,CA,"Electric Generators, Electric Utilities",Geothermal (Billion BTU),835
2007,1,CA,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2007,1,CA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"210,577"
2007,1,CA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"31,694,886"
2007,1,CA,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2007,1,CA,"Electric Generators, Independent Power Producers",Geothermal (Billion BTU),"10,428"
2007,1,CA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"70,423"
2007,1,CA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"86,950"
2007,1,CA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"8,803,426"
2007,1,CA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),77
2007,1,CA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),21
2007,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,146,479"
2007,1,CA,"Combined Heat and Power, Commercial Power",Other Gases (Billion BTU),0
2007,1,CA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,615"
2007,1,CA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"65,433"
2007,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"6,198,491"
2007,1,CA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"1,292"
2007,1,CO,Total Electric Power Industry,Coal (Short Tons),"1,777,157"
2007,1,CO,Total Electric Power Industry,Petroleum (Barrels),"3,774"
2007,1,CO,Total Electric Power Industry,Natural Gas (Mcf),"9,486,469"
2007,1,CO,Total Electric Power Industry,Other Gases (Billion BTU),4
2007,1,CO,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,771,672"
2007,1,CO,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,383"
2007,1,CO,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,616,817"
2007,1,CO,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),4
2007,1,CO,"Electric Generators, Independent Power Producers",Petroleum (Barrels),350
2007,1,CO,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,072,324"
2007,1,CO,"Combined Heat and Power, Electric Power",Coal (Short Tons),"5,485"
2007,1,CO,"Combined Heat and Power, Electric Power",Petroleum (Barrels),41
2007,1,CO,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"768,188"
2007,1,CO,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
2007,1,CO,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2007,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"3,821"
2007,1,CO,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2007,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"25,319"
2007,1,CT,Total Electric Power Industry,Coal (Short Tons),"201,079"
2007,1,CT,Total Electric Power Industry,Petroleum (Barrels),"297,920"
2007,1,CT,Total Electric Power Industry,Natural Gas (Mcf),"5,928,666"
2007,1,CT,Total Electric Power Industry,Other Gases (Billion BTU),5
2007,1,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),307
2007,1,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2007,1,CT,"Electric Generators, Independent Power Producers",Coal (Short Tons),"151,409"
2007,1,CT,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"292,440"
2007,1,CT,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,678,191"
2007,1,CT,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),5
2007,1,CT,"Combined Heat and Power, Electric Power",Coal (Short Tons),"49,670"
2007,1,CT,"Combined Heat and Power, Electric Power",Petroleum (Barrels),725
2007,1,CT,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"133,727"
2007,1,CT,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2007,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"18,390"
2007,1,CT,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"4,448"
2007,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"98,358"
2007,1,DC,Total Electric Power Industry,Petroleum (Barrels),"1,800"
2007,1,DC,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,800"
2007,1,DE,Total Electric Power Industry,Coal (Short Tons),"162,550"
2007,1,DE,Total Electric Power Industry,Petroleum (Barrels),"17,951"
2007,1,DE,Total Electric Power Industry,Natural Gas (Mcf),"674,170"
2007,1,DE,Total Electric Power Industry,Other Gases (Billion BTU),833
2007,1,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),307
2007,1,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"18,808"
2007,1,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"155,451"
2007,1,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"12,207"
2007,1,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"579,978"
2007,1,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),"5,911"
2007,1,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),73
2007,1,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"6,447"
2007,1,DE,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,188"
2007,1,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,364"
2007,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"68,937"
2007,1,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),833
2007,1,FL,Total Electric Power Industry,Coal (Short Tons),"2,621,842"
2007,1,FL,Total Electric Power Industry,Petroleum (Barrels),"1,775,313"
2007,1,FL,Total Electric Power Industry,Natural Gas (Mcf),"44,711,653"
2007,1,FL,Total Electric Power Industry,Other Gases (Billion BTU),7
2007,1,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,436,633"
2007,1,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,754,489"
2007,1,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"40,164,962"
2007,1,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,461"
2007,1,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,622,474"
2007,1,FL,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2007,1,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"180,205"
2007,1,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,140"
2007,1,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,427,575"
2007,1,FL,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
2007,1,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2007,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"22,216"
2007,1,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"5,004"
2007,1,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"17,223"
2007,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"474,426"
2007,1,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),7
2007,1,GA,Total Electric Power Industry,Coal (Short Tons),"3,450,232"
2007,1,GA,Total Electric Power Industry,Petroleum (Barrels),"65,263"
2007,1,GA,Total Electric Power Industry,Natural Gas (Mcf),"5,051,623"
2007,1,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,437,493"
2007,1,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"12,997"
2007,1,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,580,364"
2007,1,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,823"
2007,1,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,338,506"
2007,1,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2007,1,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),0
2007,1,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),229
2007,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2007,1,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"12,739"
2007,1,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"49,214"
2007,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"132,753"
2007,1,HI,Total Electric Power Industry,Coal (Short Tons),"62,949"
2007,1,HI,Total Electric Power Industry,Petroleum (Barrels),"1,137,505"
2007,1,HI,Total Electric Power Industry,Other Gases (Billion BTU),21
2007,1,HI,Total Electric Power Industry,Geothermal (Billion BTU),187
2007,1,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"976,842"
2007,1,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion BTU),187
2007,1,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"62,949"
2007,1,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"146,543"
2007,1,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),172
2007,1,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"13,948"
2007,1,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),21
2007,1,IA,Total Electric Power Industry,Coal (Short Tons),"1,912,736"
2007,1,IA,Total Electric Power Industry,Petroleum (Barrels),"49,892"
2007,1,IA,Total Electric Power Industry,Natural Gas (Mcf),"2,696,998"
2007,1,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,873,083"
2007,1,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"48,560"
2007,1,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,694,023"
2007,1,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),487
2007,1,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),83
2007,1,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"4,839"
2007,1,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),828
2007,1,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,892"
2007,1,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"34,814"
2007,1,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),17
2007,1,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),0
2007,1,ID,Total Electric Power Industry,Coal (Short Tons),"2,268"
2007,1,ID,Total Electric Power Industry,Petroleum (Barrels),18
2007,1,ID,Total Electric Power Industry,Natural Gas (Mcf),"921,819"
2007,1,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),18
2007,1,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"193,875"
2007,1,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"620,786"
2007,1,ID,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"45,559"
2007,1,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"2,268"
2007,1,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2007,1,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"61,599"
2007,1,IL,Total Electric Power Industry,Coal (Short Tons),"5,411,962"
2007,1,IL,Total Electric Power Industry,Petroleum (Barrels),"14,795"
2007,1,IL,Total Electric Power Industry,Natural Gas (Mcf),"2,364,977"
2007,1,IL,Total Electric Power Industry,Other Gases (Billion BTU),120
2007,1,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"543,679"
2007,1,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"3,567"
2007,1,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"132,934"
2007,1,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"4,808,800"
2007,1,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"11,208"
2007,1,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,556,146"
2007,1,IL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"2,083"
2007,1,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"268,074"
2007,1,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),9
2007,1,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"1,912"
2007,1,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),20
2007,1,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"273,988"
2007,1,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"55,488"
2007,1,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2007,1,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"133,835"
2007,1,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),111
2007,1,IN,Total Electric Power Industry,Coal (Short Tons),"5,613,551"
2007,1,IN,Total Electric Power Industry,Petroleum (Barrels),"21,103"
2007,1,IN,Total Electric Power Industry,Natural Gas (Mcf),"1,375,306"
2007,1,IN,Total Electric Power Industry,Other Gases (Billion BTU),"2,118"
2007,1,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"5,245,504"
2007,1,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"19,168"
2007,1,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"394,530"
2007,1,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),"146,384"
2007,1,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"54,926"
2007,1,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"214,984"
2007,1,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),1
2007,1,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"764,624"
2007,1,IN,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),0
2007,1,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"5,288"
2007,1,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),27
2007,1,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"6,467"
2007,1,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"1,391"
2007,1,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,907"
2007,1,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"154,759"
2007,1,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"2,118"
2007,1,KS,Total Electric Power Industry,Coal (Short Tons),"2,126,536"
2007,1,KS,Total Electric Power Industry,Petroleum (Barrels),"40,249"
2007,1,KS,Total Electric Power Industry,Natural Gas (Mcf),"810,157"
2007,1,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,126,536"
2007,1,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"40,249"
2007,1,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"809,414"
2007,1,KS,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2007,1,KS,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2007,1,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),743
2007,1,KY,Total Electric Power Industry,Coal (Short Tons),"3,891,561"
2007,1,KY,Total Electric Power Industry,Petroleum (Barrels),"576,763"
2007,1,KY,Total Electric Power Industry,Natural Gas (Mcf),"433,258"
2007,1,KY,Total Electric Power Industry,Other Gases (Billion BTU),11
2007,1,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,507,741"
2007,1,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"13,031"
2007,1,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"376,916"
2007,1,KY,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),11
2007,1,KY,"Electric Generators, Independent Power Producers",Coal (Short Tons),"383,820"
2007,1,KY,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"563,732"
2007,1,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"22,080"
2007,1,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"34,262"
2007,1,LA,Total Electric Power Industry,Coal (Short Tons),"1,424,678"
2007,1,LA,Total Electric Power Industry,Petroleum (Barrels),"342,751"
2007,1,LA,Total Electric Power Industry,Natural Gas (Mcf),"26,946,172"
2007,1,LA,Total Electric Power Industry,Other Gases (Billion BTU),805
2007,1,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"699,981"
2007,1,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"304,490"
2007,1,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"8,981,029"
2007,1,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"723,772"
2007,1,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"1,699"
2007,1,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,815,247"
2007,1,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,692,556"
2007,1,LA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),326
2007,1,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"19,782"
2007,1,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),925
2007,1,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"36,562"
2007,1,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"14,437,558"
2007,1,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),479
2007,1,MA,Total Electric Power Industry,Coal (Short Tons),"404,840"
2007,1,MA,Total Electric Power Industry,Petroleum (Barrels),"762,550"
2007,1,MA,Total Electric Power Industry,Natural Gas (Mcf),"10,529,283"
2007,1,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"22,311"
2007,1,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"45,274"
2007,1,MA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"404,174"
2007,1,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"708,892"
2007,1,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,758,023"
2007,1,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),386
2007,1,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,349,296"
2007,1,MA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2007,1,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"10,036"
2007,1,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"346,984"
2007,1,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),666
2007,1,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"20,925"
2007,1,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"29,706"
2007,1,MD,Total Electric Power Industry,Coal (Short Tons),"1,095,532"
2007,1,MD,Total Electric Power Industry,Petroleum (Barrels),"107,089"
2007,1,MD,Total Electric Power Industry,Natural Gas (Mcf),"659,234"
2007,1,MD,Total Electric Power Industry,Other Gases (Billion BTU),356
2007,1,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,669"
2007,1,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2007,1,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"1,028,884"
2007,1,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"93,081"
2007,1,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"172,646"
2007,1,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"61,663"
2007,1,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"6,264"
2007,1,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"470,137"
2007,1,MD,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),356
2007,1,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),10
2007,1,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),1
2007,1,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"4,985"
2007,1,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"5,065"
2007,1,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"16,450"
2007,1,ME,Total Electric Power Industry,Coal (Short Tons),"5,608"
2007,1,ME,Total Electric Power Industry,Petroleum (Barrels),"163,076"
2007,1,ME,Total Electric Power Industry,Natural Gas (Mcf),"4,415,751"
2007,1,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),357
2007,1,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"112,617"
2007,1,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"3,032,887"
2007,1,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"2,203"
2007,1,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),2
2007,1,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),417
2007,1,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,289"
2007,1,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,405"
2007,1,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"49,683"
2007,1,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,380,575"
2007,1,MI,Total Electric Power Industry,Coal (Short Tons),"3,184,843"
2007,1,MI,Total Electric Power Industry,Petroleum (Barrels),"57,546"
2007,1,MI,Total Electric Power Industry,Natural Gas (Mcf),"6,419,192"
2007,1,MI,Total Electric Power Industry,Other Gases (Billion BTU),238
2007,1,MI,"Electric Generators, Electric Utilities",Coal (Short Tons),"3,137,893"
2007,1,MI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"21,838"
2007,1,MI,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"652,030"
2007,1,MI,"Electric Generators, Electric Utilities",Other Gases (Billion BTU),109
2007,1,MI,"Electric Generators, Independent Power Producers",Coal (Short Tons),"7,932"
2007,1,MI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),15
2007,1,MI,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"611,159"
2007,1,MI,"Electric Generators, Independent Power Producers",Other Gases (Billion BTU),0
2007,1,MI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"19,122"
2007,1,MI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"18,388"
2007,1,MI,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"5,039,033"
2007,1,MI,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),129
