YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION
2007,1,AK,Total Electric Power Industry,Coal (Short Tons),"45,277"
2007,1,AK,Total Electric Power Industry,Petroleum (Barrels),"131,715"
2007,1,AK,Total Electric Power Industry,Natural Gas (Mcf),"3,928,812"
2007,1,AK,"Electric Generators, Electric Utilities",Coal (Short Tons),"17,695"
2007,1,AK,"Electric Generators, Electric Utilities",Petroleum (Barrels),"111,483"
2007,1,AK,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"3,830,180"
2007,1,AK,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"9,152"
2007,1,AK,"Combined Heat and Power, Electric Power",Coal (Short Tons),"19,469"
2007,1,AK,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,273"
2007,1,AK,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"8,113"
2007,1,AK,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,454"
2007,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2007,1,AK,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"8,353"
2007,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"98,632"
2007,1,AL,Total Electric Power Industry,Coal (Short Tons),"2,982,338"
2007,1,AL,Total Electric Power Industry,Petroleum (Barrels),"22,284"
2007,1,AL,Total Electric Power Industry,Natural Gas (Mcf),"8,658,226"
2007,1,AL,Total Electric Power Industry,Other Gases (Billion BTU),242
2007,1,AL,"Electric Generators, Electric Utilities",Coal (Short Tons),"2,966,165"
2007,1,AL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"14,262"
2007,1,AL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"4,935,753"
2007,1,AL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),128
2007,1,AL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"1,729,323"
2007,1,AL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"8,920"
2007,1,AL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,586,220"
2007,1,AL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"7,253"
2007,1,AL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"7,894"
